 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, rowcost
Ab mixolydian (4b), 2+0:0:0:0:2, 1+0:0:0:0:0, 4+0:1:0:0:2, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:1:0:0, 1+0:0:0:0:0, 4+1:1:0:0:3, 4+1:1:0:0:2, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:2, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:1:0:0, 2+0:0:1:0:0, 1+0:0:0:0:0, 4+1:1:0:0:3, 1+0:0:0:0:0, 4+0:1:0:0:2, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:1:0:0, 0+0:0:0:0:0, 4+1:1:0:0:2, 0+0:0:0:0:0, 3+0:1:0:0:2, 50+4:8:4:0:20
E mixolydian (4#), 1+0:0:0:0:0, 5+0:2:0:0:1, 8+0:3:0:0:1, 5+0:3:0:0:2, 2+0:1:1:0:1, 7+0:4:0:0:2, 8+0:6:1:0:4, 5+0:3:0:0:2, 5+0:1:0:0:0, 8+0:2:0:0:1, 4+0:2:0:0:1, 4+0:3:0:0:2, 5+0:3:0:0:1, 5+0:2:0:0:1, 3+0:1:0:0:0, 4+0:3:0:0:2, 4+0:3:0:0:1, 4+0:2:0:0:1, 1+0:0:0:0:0, 4+0:2:0:0:1, 2+0:1:0:0:0, 5+0:3:0:0:1, 1+0:0:0:0:0, 4+0:4:1:0:3, 5+0:3:1:0:3, 4+0:2:0:0:1, 5+0:1:0:0:0, 5+0:2:0:0:1, 8+0:3:0:0:1, 5+0:3:0:0:2, 2+0:1:1:0:1, 7+0:4:0:0:2, 8+0:6:1:0:4, 5+0:4:0:0:2, 8+0:2:0:0:1, 4+0:2:0:0:1, 6+0:2:0:0:1, 176+0:89:6:0:48
Ab aeolian (4b), 2+0:0:0:0:1, 0+0:0:0:0:0, 4+0:1:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:1:0:0, 0+0:0:0:0:0, 4+1:1:0:0:2, 3+1:1:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:1:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:1:0:0, 1+0:0:1:0:0, 0+0:0:0:0:0, 4+1:1:0:0:2, 0+0:0:0:0:0, 4+0:1:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:1:0:0, 0+0:0:0:0:0, 3+1:1:0:0:1, 0+0:0:0:0:0, 2+0:1:0:0:1, 38+4:8:4:0:11
E aeolian (4#), 1+0:0:0:0:0, 5+0:2:0:0:2, 8+0:3:0:0:3, 5+0:3:0:0:2, 2+0:1:1:0:1, 7+0:4:0:0:3, 8+0:6:1:0:5, 5+0:3:0:0:2, 5+0:1:0:0:0, 8+0:2:0:0:1, 4+0:2:0:0:2, 4+0:3:0:0:2, 5+0:3:0:0:2, 5+0:2:0:0:2, 3+0:1:0:0:1, 4+0:3:0:0:2, 4+0:3:0:0:2, 4+0:2:0:0:2, 1+0:0:0:0:0, 4+0:2:0:0:1, 2+0:1:0:0:0, 5+0:3:0:0:2, 1+0:0:0:0:0, 4+0:4:1:0:4, 5+0:3:1:0:3, 4+0:2:0:0:1, 5+0:1:0:0:0, 5+0:2:0:0:2, 8+0:3:0:0:3, 5+0:3:0:0:2, 2+0:1:1:0:1, 7+0:4:0:0:3, 8+0:6:1:0:5, 5+0:4:0:0:3, 8+0:2:0:0:1, 4+0:2:0:0:2, 6+0:2:0:0:1, 176+0:89:6:0:68
Ab locrian (4b), 2+0:0:0:0:1, 2+0:0:0:0:0, 5+0:1:0:0:3, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 5+1:1:0:0:3, 5+1:1:0:0:2, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:2, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 5+1:1:0:0:3, 2+0:0:0:0:0, 5+0:1:0:0:3, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 5+1:1:0:0:2, 1+0:0:0:0:0, 4+0:1:0:0:2, 69+4:8:0:0:22
E locrian (4#), 2+0:1:0:0:0, 4+0:2:0:0:0, 8+0:3:0:0:0, 5+0:3:0:0:1, 2+0:1:1:0:1, 6+0:4:0:0:1, 8+0:6:1:0:3, 4+0:3:0:0:1, 6+0:1:0:0:2, 7+0:2:0:0:3, 4+0:2:0:0:0, 4+0:3:0:0:1, 4+0:3:0:0:1, 4+0:2:0:0:0, 3+0:1:0:0:0, 4+0:3:0:0:1, 3+0:3:0:0:1, 3+0:2:0:0:0, 1+0:0:0:0:0, 3+0:2:0:0:1, 3+0:1:0:0:1, 5+0:3:0:0:0, 2+0:1:0:0:0, 4+0:4:1:0:2, 4+0:3:1:0:2, 3+0:2:0:0:1, 6+0:1:0:0:2, 4+0:2:0:0:0, 8+0:3:0:0:0, 5+0:3:0:0:1, 2+0:1:1:0:1, 6+0:4:0:0:1, 8+0:6:1:0:3, 5+0:4:0:0:1, 7+0:2:0:0:3, 4+0:2:0:0:0, 5+0:2:0:0:2, 166+0:91:6:0:37
Db major (5b), 2+0:0:0:0:2, 1+0:0:0:0:0, 4+0:1:0:0:2, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:1:0:0, 1+0:0:0:0:0, 4+1:1:0:0:3, 4+1:1:0:0:2, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:2, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:1:0:0, 2+0:0:1:0:0, 1+0:0:0:0:0, 4+1:1:0:0:3, 1+0:0:0:0:0, 4+0:1:0:0:2, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:1:0:0, 0+0:0:0:0:0, 4+1:1:0:0:2, 0+0:0:0:0:0, 3+0:1:0:0:2, 50+4:8:4:0:20
B major (5#), 1+0:0:0:0:0, 5+0:2:0:0:2, 8+0:3:0:0:3, 5+0:3:0:0:3, 1+0:0:1:0:1, 7+0:4:0:0:4, 8+0:6:1:0:6, 5+0:3:0:0:3, 5+0:1:0:0:1, 8+0:2:0:0:2, 4+0:2:0:0:2, 4+0:3:0:0:3, 5+0:3:0:0:3, 5+0:2:0:0:2, 4+0:1:0:0:1, 4+0:3:0:0:3, 4+0:3:0:0:3, 4+0:2:0:0:2, 1+0:0:0:0:0, 4+0:2:0:0:2, 2+0:1:0:0:1, 5+0:3:0:0:3, 1+0:0:0:0:0, 4+0:4:1:0:4, 5+0:3:1:0:3, 4+0:2:0:0:2, 5+0:1:0:0:1, 5+0:2:0:0:2, 8+0:3:0:0:3, 5+0:3:0:0:3, 1+0:0:1:0:1, 7+0:4:0:0:4, 8+0:6:1:0:6, 5+0:4:0:0:4, 8+0:2:0:0:2, 4+0:2:0:0:2, 6+0:2:0:0:2, 175+0:87:6:0:89
Bb minor (5b), 3+0:0:0:0:1, 2+0:0:0:0:0, 5+0:1:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:1:0:0, 2+0:0:0:0:0, 5+0:2:0:0:3, 5+0:2:0:0:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:1:0:0, 3+0:0:1:0:0, 1+0:0:0:0:0, 5+0:2:0:0:3, 2+0:0:0:0:0, 5+0:1:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:1:0:0, 1+0:0:0:0:0, 5+0:2:0:0:2, 1+0:0:0:0:0, 3+0:1:0:0:1, 76+0:12:4:0:15
G# minor (5#), 1+0:0:0:0:1, 5+0:2:0:0:5, 8+0:3:0:0:5, 5+0:3:0:0:5, 1+0:0:1:0:0, 7+0:4:0:0:7, 8+0:6:1:0:8, 5+0:3:0:0:5, 3+0:1:0:0:2, 8+0:2:0:0:6, 4+0:2:0:0:4, 4+0:3:0:0:4, 5+0:3:0:0:5, 5+0:2:0:0:5, 4+0:1:0:0:3, 4+0:3:0:0:4, 4+0:3:0:0:4, 4+0:2:0:0:4, 1+0:0:0:0:1, 4+0:2:0:0:4, 2+0:1:0:0:2, 5+0:3:0:0:5, 1+0:0:0:0:1, 4+0:4:1:0:4, 5+0:3:1:0:5, 4+0:2:0:0:4, 3+0:1:0:0:2, 5+0:2:0:0:5, 8+0:3:0:0:5, 5+0:3:0:0:5, 1+0:0:1:0:0, 7+0:4:0:0:7, 8+0:6:1:0:8, 5+0:4:0:0:5, 8+0:2:0:0:6, 4+0:2:0:0:4, 6+0:2:0:0:5, 171+0:87:6:0:155
Bb minor mel (5b), 3+0:0:0:0:1, 1+0:0:0:0:0, 5+0:1:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:1:0:0, 1+0:0:0:0:0, 5+0:2:0:0:3, 4+0:2:0:0:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:1:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:0, 2+0:0:1:0:0, 0+0:0:0:0:0, 5+0:2:0:0:3, 1+0:0:0:0:0, 5+0:1:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:1:0:0, 1+0:0:0:0:0, 4+0:2:0:0:2, 1+0:0:0:0:0, 2+0:1:0:0:1, 64+0:12:4:0:15
G# minor mel (5#), 2+0:0:0:0:1, 5+0:2:0:0:5, 8+0:3:0:0:5, 5+0:3:0:0:5, 1+0:0:1:0:0, 7+0:4:0:0:7, 8+0:6:1:0:8, 5+0:3:0:0:5, 4+0:1:0:0:2, 9+0:2:0:0:6, 4+0:2:0:0:4, 4+0:3:0:0:4, 5+0:3:0:0:4, 5+0:2:0:0:5, 4+0:1:0:0:3, 4+0:3:0:0:4, 4+0:3:0:0:4, 4+0:2:0:0:4, 1+0:0:0:0:1, 4+0:2:0:0:4, 3+0:1:0:0:2, 5+0:3:0:0:5, 0+0:0:0:0:0, 4+0:4:1:0:4, 5+0:3:1:0:5, 4+0:2:0:0:4, 4+0:1:0:0:2, 5+0:2:0:0:5, 8+0:3:0:0:5, 5+0:3:0:0:5, 1+0:0:1:0:0, 7+0:4:0:0:7, 8+0:6:1:0:8, 5+0:4:0:0:5, 9+0:2:0:0:6, 4+0:2:0:0:4, 7+0:2:0:0:5, 177+0:87:6:0:153
Db major blues (5b), 3+0:0:0:0:1, 3+0:0:0:0:0, 6+0:1:0:0:2, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:1:0:0, 2+0:0:0:0:0, 5+1:1:0:0:3, 6+1:1:0:0:2, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:2, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:1:0:0, 3+0:0:1:0:0, 2+0:0:0:0:0, 5+1:1:0:0:3, 3+0:0:0:0:0, 6+0:1:0:0:2, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:1:0:0, 1+0:0:0:0:0, 6+1:1:0:0:2, 2+0:0:0:0:0, 5+0:1:0:0:2, 104+4:8:4:0:20
B major blues (5#), 2+0:0:0:0:0, 5+0:2:0:0:3, 8+0:3:0:0:4, 5+0:3:0:0:4, 2+0:0:1:0:1, 7+0:4:0:0:5, 8+0:6:1:0:7, 5+0:3:0:0:4, 6+0:1:0:0:1, 9+0:2:0:0:3, 4+0:2:0:0:3, 4+0:3:0:0:4, 5+0:3:0:0:4, 5+0:2:0:0:3, 4+0:1:0:0:2, 4+0:3:0:0:4, 4+0:3:0:0:3, 4+0:2:0:0:2, 1+0:0:0:0:0, 4+0:2:0:0:3, 3+0:1:0:0:1, 5+0:3:0:0:4, 1+0:0:0:0:1, 4+0:4:1:0:4, 5+0:3:1:0:4, 4+0:2:0:0:3, 6+0:1:0:0:1, 5+0:2:0:0:3, 8+0:3:0:0:4, 5+0:3:0:0:4, 2+0:0:1:0:1, 7+0:4:0:0:5, 8+0:6:1:0:7, 5+0:4:0:0:5, 9+0:2:0:0:3, 4+0:2:0:0:3, 7+0:2:0:0:3, 184+0:87:6:0:116
Bb minor blues (5b), 3+0:0:0:0:1, 3+0:0:0:0:0, 6+0:1:0:0:2, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:1:0:0, 2+0:0:0:0:0, 5+1:1:0:0:3, 6+1:1:0:0:2, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:2, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:1:0:0, 3+0:0:1:0:0, 2+0:0:0:0:0, 5+1:1:0:0:3, 3+0:0:0:0:0, 6+0:1:0:0:2, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:1:0:0, 1+0:0:0:0:0, 6+1:1:0:0:2, 2+0:0:0:0:0, 5+0:1:0:0:2, 104+4:8:4:0:20
G# minor blues (5#), 2+0:0:0:0:0, 5+0:2:0:0:3, 8+0:3:0:0:4, 5+0:3:0:0:4, 2+0:0:1:0:1, 7+0:4:0:0:5, 8+0:6:1:0:7, 5+0:3:0:0:4, 6+0:1:0:0:1, 9+0:2:0:0:3, 4+0:2:0:0:3, 4+0:3:0:0:4, 5+0:3:0:0:4, 5+0:2:0:0:3, 4+0:1:0:0:2, 4+0:3:0:0:4, 4+0:3:0:0:3, 4+0:2:0:0:2, 1+0:0:0:0:0, 4+0:2:0:0:3, 3+0:1:0:0:1, 5+0:3:0:0:4, 1+0:0:0:0:1, 4+0:4:1:0:4, 5+0:3:1:0:4, 4+0:2:0:0:3, 6+0:1:0:0:1, 5+0:2:0:0:3, 8+0:3:0:0:4, 5+0:3:0:0:4, 2+0:0:1:0:1, 7+0:4:0:0:5, 8+0:6:1:0:7, 5+0:4:0:0:5, 9+0:2:0:0:3, 4+0:2:0:0:3, 7+0:2:0:0:3, 184+0:87:6:0:116
Db dorian (5b), 2+0:0:0:0:1, 0+0:0:0:0:0, 4+0:1:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:1:0:0, 0+0:0:0:0:0, 4+1:1:0:0:2, 3+1:1:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:1:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:1:0:0, 1+0:0:1:0:0, 0+0:0:0:0:0, 4+1:1:0:0:2, 0+0:0:0:0:0, 4+0:1:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:1:0:0, 0+0:0:0:0:0, 3+1:1:0:0:1, 0+0:0:0:0:0, 2+0:1:0:0:1, 38+4:8:4:0:11
B dorian (5#), 2+0:0:0:0:0, 5+0:2:0:0:3, 8+0:3:0:0:4, 5+0:3:0:0:4, 1+0:0:1:0:1, 7+0:4:0:0:5, 8+0:6:1:0:7, 5+0:3:0:0:4, 6+0:1:0:0:1, 9+0:2:0:0:3, 4+0:2:0:0:3, 4+0:3:0:0:4, 5+0:3:0:0:3, 5+0:2:0:0:3, 4+0:1:0:0:2, 4+0:3:0:0:4, 4+0:3:0:0:3, 4+0:2:0:0:2, 1+0:0:0:0:0, 4+0:2:0:0:3, 3+0:1:0:0:1, 5+0:3:0:0:4, 0+0:0:0:0:0, 4+0:4:1:0:4, 5+0:3:1:0:4, 4+0:2:0:0:3, 6+0:1:0:0:1, 5+0:2:0:0:3, 8+0:3:0:0:4, 5+0:3:0:0:4, 1+0:0:1:0:1, 7+0:4:0:0:5, 8+0:6:1:0:7, 5+0:4:0:0:5, 9+0:2:0:0:3, 4+0:2:0:0:3, 7+0:2:0:0:3, 181+0:87:6:0:114
Db phrygian (5b), 2+0:0:0:0:1, 2+0:0:0:0:0, 5+0:1:0:0:3, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 5+1:1:0:0:3, 5+1:1:0:0:2, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:2, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 5+1:1:0:0:3, 2+0:0:0:0:0, 5+0:1:0:0:3, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 5+1:1:0:0:2, 1+0:0:0:0:0, 4+0:1:0:0:2, 69+4:8:0:0:22
B phrygian (5#), 1+0:0:0:0:0, 5+0:2:0:0:2, 8+0:3:0:0:3, 5+0:3:0:0:2, 2+0:1:1:0:1, 7+0:4:0:0:3, 8+0:6:1:0:5, 5+0:3:0:0:2, 5+0:1:0:0:0, 8+0:2:0:0:1, 4+0:2:0:0:2, 4+0:3:0:0:2, 5+0:3:0:0:2, 5+0:2:0:0:2, 3+0:1:0:0:1, 4+0:3:0:0:2, 4+0:3:0:0:2, 4+0:2:0:0:2, 1+0:0:0:0:0, 4+0:2:0:0:1, 2+0:1:0:0:0, 5+0:3:0:0:2, 1+0:0:0:0:0, 4+0:4:1:0:4, 5+0:3:1:0:3, 4+0:2:0:0:1, 5+0:1:0:0:0, 5+0:2:0:0:2, 8+0:3:0:0:3, 5+0:3:0:0:2, 2+0:1:1:0:1, 7+0:4:0:0:3, 8+0:6:1:0:5, 5+0:4:0:0:3, 8+0:2:0:0:1, 4+0:2:0:0:2, 6+0:2:0:0:1, 176+0:89:6:0:68
Db lydian (5b), 2+0:0:0:0:1, 0+0:0:0:0:0, 4+0:1:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:1:0:0, 0+0:0:0:0:0, 4+1:1:0:0:2, 3+1:1:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:1:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:1:0:0, 1+0:0:1:0:0, 0+0:0:0:0:0, 4+1:1:0:0:2, 0+0:0:0:0:0, 4+0:1:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:1:0:0, 0+0:0:0:0:0, 3+1:1:0:0:1, 0+0:0:0:0:0, 2+0:1:0:0:1, 38+4:8:4:0:11
B lydian (5#), 2+0:0:0:0:0, 5+0:2:0:0:3, 8+0:3:0:0:4, 5+0:3:0:0:4, 1+0:0:1:0:1, 7+0:4:0:0:5, 8+0:6:1:0:7, 5+0:3:0:0:4, 6+0:1:0:0:1, 9+0:2:0:0:3, 4+0:2:0:0:3, 4+0:3:0:0:4, 5+0:3:0:0:3, 5+0:2:0:0:3, 4+0:1:0:0:2, 4+0:3:0:0:4, 4+0:3:0:0:3, 4+0:2:0:0:2, 1+0:0:0:0:0, 4+0:2:0:0:3, 3+0:1:0:0:1, 5+0:3:0:0:4, 0+0:0:0:0:0, 4+0:4:1:0:4, 5+0:3:1:0:4, 4+0:2:0:0:3, 6+0:1:0:0:1, 5+0:2:0:0:3, 8+0:3:0:0:4, 5+0:3:0:0:4, 1+0:0:1:0:1, 7+0:4:0:0:5, 8+0:6:1:0:7, 5+0:4:0:0:5, 9+0:2:0:0:3, 4+0:2:0:0:3, 7+0:2:0:0:3, 181+0:87:6:0:114
Db mixolydian (5b), 2+0:0:0:0:1, 2+0:0:0:0:0, 5+0:1:0:0:3, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 5+1:1:0:0:3, 5+1:1:0:0:2, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:2, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 5+1:1:0:0:3, 2+0:0:0:0:0, 5+0:1:0:0:3, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 5+1:1:0:0:2, 1+0:0:0:0:0, 4+0:1:0:0:2, 69+4:8:0:0:22
B mixolydian (5#), 1+0:0:0:0:0, 5+0:2:0:0:2, 8+0:3:0:0:3, 5+0:3:0:0:2, 2+0:1:1:0:1, 7+0:4:0:0:3, 8+0:6:1:0:5, 5+0:3:0:0:2, 5+0:1:0:0:0, 8+0:2:0:0:1, 4+0:2:0:0:2, 4+0:3:0:0:2, 5+0:3:0:0:2, 5+0:2:0:0:2, 3+0:1:0:0:1, 4+0:3:0:0:2, 4+0:3:0:0:2, 4+0:2:0:0:2, 1+0:0:0:0:0, 4+0:2:0:0:1, 2+0:1:0:0:0, 5+0:3:0:0:2, 1+0:0:0:0:0, 4+0:4:1:0:4, 5+0:3:1:0:3, 4+0:2:0:0:1, 5+0:1:0:0:0, 5+0:2:0:0:2, 8+0:3:0:0:3, 5+0:3:0:0:2, 2+0:1:1:0:1, 7+0:4:0:0:3, 8+0:6:1:0:5, 5+0:4:0:0:3, 8+0:2:0:0:1, 4+0:2:0:0:2, 6+0:2:0:0:1, 176+0:89:6:0:68
