 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15
C major (0), G major (1#), C minor (3b), G minor (2b), G major (1#), C minor (3b), G minor (2b), E minor (1#), C minor (3b), G minor (2b), G major (1#), G major (1#), E major (4#), E minor (1#), C minor (3b), G minor (2b), B minor (2#)
A minor (0), E minor (1#), C major (0), G minor (2b), G major (1#), C major (0), D minor (1b), E minor (1#), G minor (2b), G minor (2b), G major (1#), G major (1#), E major (4#), E minor (1#), G minor (2b), D minor (1b), B minor (2#)
F major (1b), C major (0), C major (0), Bb major (2b), C major (0), C minor (3b), G minor (2b), E minor (1#), Bb major (2b), Bb major (2b), G major (1#), D major (2#), B minor (2#), E minor (1#), Bb major (2b), Bb major (2b), B minor (2#)
G major (1#), G major (1#), C major (0), G minor (2b), G major (1#), C major (0), G minor (2b), E minor (1#), G minor (2b), G minor (2b), G major (1#), G major (1#), E major (4#), E minor (1#), G minor (2b), G minor (2b), B minor (2#)
D minor (1b), A minor (0), C minor (3b), G minor (2b), G minor (2b), C minor (3b), G minor (2b), E minor (1#), G minor (2b), G minor (2b), G major (1#), D major (2#), B minor (2#), E minor (1#), G minor (2b), G minor (2b), B minor (2#)
E minor (1#), E minor (1#), G major (1#), G minor (2b), G major (1#), G major (1#), B minor (2#), E minor (1#), G minor (2b), G minor (2b), G major (1#), G major (1#), E major (4#), E minor (1#), G minor (2b), G minor (2b), B minor (2#)
Bb major (2b), G major (1#), C minor (3b), G minor (2b), G minor (2b), C minor (3b), G minor (2b), E minor (1#), G minor (2b), G minor (2b), G major (1#), G major (1#), E major (4#), E minor (1#), G minor (2b), G minor (2b), B minor (2#)
D major (2#), G major (1#), G major (1#), G minor (2b), G major (1#), G major (1#), B minor (2#), E minor (1#), G minor (2b), G minor (2b), G major (1#), D major (2#), B minor (2#), E minor (1#), G minor (2b), D minor (1b), B minor (2#)
G minor (2b), G major (1#), C minor (3b), G minor (2b), G major (1#), C minor (3b), G minor (2b), E minor (1#), G minor (2b), G minor (2b), G major (1#), G major (1#), E major (4#), E minor (1#), G minor (2b), G minor (2b), B minor (2#)
B minor (2#), E minor (1#), G major (1#), G minor (2b), G major (1#), G major (1#), B minor (2#), E minor (1#), G minor (2b), D minor (1b), D major (2#), B minor (2#), B major (5#), E minor (1#), G minor (2b), D minor (1b), B minor (2#)
Eb major (3b), C major (0), C minor (3b), Eb major (3b), C major (0), C minor (3b), G minor (2b), C minor (3b), Eb major (3b), Eb major (3b), C major (0), C major (0), E major (4#), E minor (1#), Bb major (2b), Eb major (3b), C minor (3b)
A major (3#), A minor (0), C major (0), G minor (2b), G major (1#), C major (0), D major (2#), E minor (1#), G minor (2b), G minor (2b), G major (1#), D major (2#), E major (4#), E minor (1#), G minor (2b), D minor (1b), B minor (2#)
C minor (3b), C major (0), C minor (3b), G minor (2b), C major (0), C minor (3b), G minor (2b), E minor (1#), G minor (2b), G minor (2b), G major (1#), G major (1#), E major (4#), E minor (1#), G minor (2b), G minor (2b), A minor (0)
F# minor (3#), A major (3#), A minor (0), G minor (2b), E minor (1#), A minor (0), B minor (2#), E minor (1#), G minor (2b), G minor (2b), E minor (1#), B minor (2#), B minor (2#), E minor (1#), G minor (2b), D minor (1b), B minor (2#)
Ab major (4b), C major (0), C minor (3b), Eb major (3b), C major (0), C minor (3b), G minor (2b), C minor (3b), Eb major (3b), Eb major (3b), C major (0), G major (1#), E major (4#), E minor (1#), Eb major (3b), Ab major (4b), B minor (2#)
E major (4#), E minor (1#), G major (1#), G minor (2b), G major (1#), G major (1#), B minor (2#), E minor (1#), G minor (2b), G minor (2b), G major (1#), G major (1#), E major (4#), E minor (1#), G minor (2b), G minor (2b), E major (4#)
F minor (4b), C major (0), C minor (3b), G minor (2b), C major (0), C minor (3b), G minor (2b), E minor (1#), C minor (3b), G minor (2b), C major (0), C major (0), E major (4#), E minor (1#), C minor (3b), G minor (2b), B minor (2#)
C# minor (4#), E major (4#), G major (1#), G minor (2b), E minor (1#), G major (1#), B minor (2#), E minor (1#), G minor (2b), G minor (2b), E minor (1#), B minor (2#), E major (4#), E minor (1#), G minor (2b), G minor (2b), E major (4#)
Db major (5b), G major (1#), C minor (3b), Eb major (3b), C major (0), C minor (3b), G minor (2b), E minor (1#), Bb major (2b), Bb major (2b), G major (1#), G major (1#), E major (4#), E minor (1#), Bb major (2b), Bb major (2b), B minor (2#)
B major (5#), E major (4#), G major (1#), G minor (2b), E minor (1#), B minor (2#), B minor (2#), E minor (1#), G minor (2b), G minor (2b), E minor (1#), B minor (2#), B major (5#), E major (4#), G minor (2b), D minor (1b), B minor (2#)
Bb minor (5b), G major (1#), C minor (3b), G minor (2b), G minor (2b), C minor (3b), G minor (2b), E minor (1#), Bb major (2b), Bb major (2b), G minor (2b), G major (1#), E major (4#), E minor (1#), Bb major (2b), Bb major (2b), B minor (2#)
G# minor (5#), E major (4#), G major (1#), G minor (2b), G major (1#), G major (1#), B minor (2#), E minor (1#), G minor (2b), G minor (2b), E minor (1#), B minor (2#), B major (5#), B major (5#), G minor (2b), G minor (2b), B minor (2#)
Gb major (6b), C major (0), C minor (3b), Eb major (3b), C major (0), C minor (3b), G minor (2b), E minor (1#), Eb major (3b), Eb major (3b), C major (0), G major (1#), E major (4#), E minor (1#), Eb major (3b), Ab major (4b), B minor (2#)
F# major (6#), A major (3#), C major (0), G minor (2b), G major (1#), G major (1#), B minor (2#), B major (5#), C minor (3b), G minor (2b), E minor (1#), B minor (2#), B major (5#), F# major (6#), C minor (3b), G minor (2b), B minor (2#)
Eb minor (6b), C major (0), C minor (3b), Eb major (3b), C major (0), C minor (3b), G minor (2b), E minor (1#), Eb major (3b), Eb major (3b), C major (0), G major (1#), E major (4#), E minor (1#), Eb major (3b), Eb major (3b), B minor (2#)
D# minor (6#), E minor (1#), C major (0), G minor (2b), G major (1#), G major (1#), B minor (2#), E minor (1#), G minor (2b), G minor (2b), E minor (1#), B minor (2#), B major (5#), F# major (6#), C minor (3b), G minor (2b), B minor (2#)
Cb major (7b), C major (0), C minor (3b), Eb major (3b), C major (0), C minor (3b), G minor (2b), E minor (1#), Bb major (2b), Eb major (3b), C major (0), G major (1#), E major (4#), E minor (1#), Eb major (3b), Ab major (4b), B minor (2#)
C# major (7#), E major (4#), G major (1#), G minor (2b), G major (1#), G major (1#), B minor (2#), E minor (1#), G minor (2b), G minor (2b), E minor (1#), B minor (2#), B major (5#), F# major (6#), C minor (3b), G minor (2b), E major (4#)
Ab minor (7b), C major (0), C minor (3b), Eb major (3b), C major (0), C minor (3b), G minor (2b), E minor (1#), Eb major (3b), Eb major (3b), C major (0), G major (1#), E major (4#), E minor (1#), Eb major (3b), Ab major (4b), B minor (2#)
A# minor (7#), E major (4#), G major (1#), G minor (2b), G major (1#), G major (1#), B minor (2#), E minor (1#), G minor (2b), G minor (2b), E minor (1#), B minor (2#), B major (5#), F# major (6#), C minor (3b), G minor (2b), E major (4#)
